train_device,test_device,fraction,epochs,MAE_mJ,MAPE_pct
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,5,1129.17,19.15
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,5,912.65,16.14
RedmiNote10ProBlue,RedmiNote9,0.1,5,1405.52,32.13
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,10,941.7,18.44
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,10,759.93,15.49
RedmiNote10ProBlue,RedmiNote9,0.1,10,1348.06,34.02
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,20,719.05,17.26
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,20,683.78,16.0
RedmiNote10ProBlue,RedmiNote9,0.1,20,1301.37,36.24
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,30,622.76,14.91
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,30,665.02,15.11
RedmiNote10ProBlue,RedmiNote9,0.1,30,1236.35,33.85
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,40,582.83,13.57
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,40,675.47,14.72
RedmiNote10ProBlue,RedmiNote9,0.1,40,1200.84,32.15
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,50,559.44,12.32
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,50,670.72,13.92
RedmiNote10ProBlue,RedmiNote9,0.1,50,1164.25,29.73
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,100,542.93,11.33
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,100,680.75,13.45
RedmiNote10ProBlue,RedmiNote9,0.1,100,1139.83,27.22
RedmiNote10ProBlue,RedmiNote10ProBlue,0.1,200,539.25,11.19
RedmiNote10ProBlue,RedmiNote10ProPink,0.1,200,676.85,13.3
RedmiNote10ProBlue,RedmiNote9,0.1,200,1147.74,26.91
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,5,983.05,18.48
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,5,788.6,15.52
RedmiNote10ProBlue,RedmiNote9,0.2,5,1353.84,33.48
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,10,739.75,17.09
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,10,677.99,15.63
RedmiNote10ProBlue,RedmiNote9,0.2,10,1292.09,35.6
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,20,590.74,13.6
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,20,669.82,14.64
RedmiNote10ProBlue,RedmiNote9,0.2,20,1202.82,32.28
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,30,552.8,11.79
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,30,666.87,13.51
RedmiNote10ProBlue,RedmiNote9,0.2,30,1153.08,28.62
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,40,542.0,11.31
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,40,669.09,13.26
RedmiNote10ProBlue,RedmiNote9,0.2,40,1145.77,27.41
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,50,562.37,12.17
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,50,665.52,13.72
RedmiNote10ProBlue,RedmiNote9,0.2,50,1159.4,29.37
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,100,543.29,11.35
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,100,664.94,13.21
RedmiNote10ProBlue,RedmiNote9,0.2,100,1146.3,27.56
RedmiNote10ProBlue,RedmiNote10ProBlue,0.2,200,541.17,11.3
RedmiNote10ProBlue,RedmiNote10ProPink,0.2,200,665.96,13.21
RedmiNote10ProBlue,RedmiNote9,0.2,200,1144.68,27.34
RedmiNote10ProBlue,RedmiNote10ProBlue,0.3,5,863.41,18.12
RedmiNote10ProBlue,RedmiNote10ProPink,0.3,5,715.22,15.51
RedmiNote10ProBlue,RedmiNote9,0.3,5,1328.56,34.89
RedmiNote10ProBlue,RedmiNote10ProBlue,0.3,10,651.99,16.04
RedmiNote10ProBlue,RedmiNote10ProPink,0.3,10,678.4,15.86
RedmiNote10ProBlue,RedmiNote9,0.3,10,1266.17,35.56
RedmiNote10ProBlue,RedmiNote10ProBlue,0.3,20,558.52,12.08
RedmiNote10ProBlue,RedmiNote10ProPink,0.3,20,661.2,13.62
RedmiNote10ProBlue,RedmiNote9,0.3,20,1154.06,29.14
RedmiNote10ProBlue,RedmiNote10ProBlue,0.3,30,545.74,11.44
RedmiNote10ProBlue,RedmiNote10ProPink,0.3,30,662.52,13.27
RedmiNote10ProBlue,RedmiNote9,0.3,30,1140.21,27.64
RedmiNote10ProBlue,RedmiNote10ProBlue,0.3,40,540.11,11.19
RedmiNote10ProBlue,RedmiNote10ProPink,0.3,40,664.86,13.18
RedmiNote10ProBlue,RedmiNote9,0.3,40,1134.48,26.85
RedmiNote10ProBlue,RedmiNote10ProBlue,0.3,50,543.13,11.36
RedmiNote10ProBlue,RedmiNote10ProPink,0.3,50,669.21,13.32
RedmiNote10ProBlue,RedmiNote9,0.3,50,1136.96,27.36
RedmiNote10ProBlue,RedmiNote10ProBlue,0.3,100,542.41,11.25
RedmiNote10ProBlue,RedmiNote10ProPink,0.3,100,664.46,13.19
RedmiNote10ProBlue,RedmiNote9,0.3,100,1135.34,27.08
RedmiNote10ProBlue,RedmiNote10ProBlue,0.3,200,540.35,11.23
RedmiNote10ProBlue,RedmiNote10ProPink,0.3,200,667.27,13.22
RedmiNote10ProBlue,RedmiNote9,0.3,200,1136.05,26.98
RedmiNote10ProBlue,RedmiNote10ProBlue,0.4,5,770.61,17.71
RedmiNote10ProBlue,RedmiNote10ProPink,0.4,5,687.64,15.86
RedmiNote10ProBlue,RedmiNote9,0.4,5,1310.92,35.98
RedmiNote10ProBlue,RedmiNote10ProBlue,0.4,10,606.08,14.47
RedmiNote10ProBlue,RedmiNote10ProPink,0.4,10,674.47,15.22
RedmiNote10ProBlue,RedmiNote9,0.4,10,1223.75,33.65
RedmiNote10ProBlue,RedmiNote10ProBlue,0.4,20,546.93,11.61
RedmiNote10ProBlue,RedmiNote10ProPink,0.4,20,663.49,13.35
RedmiNote10ProBlue,RedmiNote9,0.4,20,1147.01,28.14
RedmiNote10ProBlue,RedmiNote10ProBlue,0.4,30,538.56,11.24
RedmiNote10ProBlue,RedmiNote10ProPink,0.4,30,664.08,13.19
RedmiNote10ProBlue,RedmiNote9,0.4,30,1139.65,27.25
RedmiNote10ProBlue,RedmiNote10ProBlue,0.4,40,532.72,11.0
RedmiNote10ProBlue,RedmiNote10ProPink,0.4,40,661.56,13.05
RedmiNote10ProBlue,RedmiNote9,0.4,40,1139.0,26.64
RedmiNote10ProBlue,RedmiNote10ProBlue,0.4,50,539.3,11.23
RedmiNote10ProBlue,RedmiNote10ProPink,0.4,50,669.88,13.28
RedmiNote10ProBlue,RedmiNote9,0.4,50,1136.93,27.1
RedmiNote10ProBlue,RedmiNote10ProBlue,0.4,100,535.6,11.11
RedmiNote10ProBlue,RedmiNote10ProPink,0.4,100,666.19,13.16
RedmiNote10ProBlue,RedmiNote9,0.4,100,1139.53,26.92
RedmiNote10ProBlue,RedmiNote10ProBlue,0.4,200,541.74,11.36
RedmiNote10ProBlue,RedmiNote10ProPink,0.4,200,668.83,13.33
RedmiNote10ProBlue,RedmiNote9,0.4,200,1138.38,27.5
RedmiNote10ProBlue,RedmiNote10ProBlue,0.5,5,689.19,16.76
RedmiNote10ProBlue,RedmiNote10ProPink,0.5,5,679.01,15.99
RedmiNote10ProBlue,RedmiNote9,0.5,5,1285.87,36.11
RedmiNote10ProBlue,RedmiNote10ProBlue,0.5,10,572.27,12.84
RedmiNote10ProBlue,RedmiNote10ProPink,0.5,10,665.37,14.17
RedmiNote10ProBlue,RedmiNote9,0.5,10,1175.2,30.79
RedmiNote10ProBlue,RedmiNote10ProBlue,0.5,20,540.36,11.19
RedmiNote10ProBlue,RedmiNote10ProPink,0.5,20,656.02,13.07
RedmiNote10ProBlue,RedmiNote9,0.5,20,1129.6,26.81
RedmiNote10ProBlue,RedmiNote10ProBlue,0.5,30,537.61,11.07
RedmiNote10ProBlue,RedmiNote10ProPink,0.5,30,650.78,12.95
RedmiNote10ProBlue,RedmiNote9,0.5,30,1129.77,26.66
RedmiNote10ProBlue,RedmiNote10ProBlue,0.5,40,540.29,11.21
RedmiNote10ProBlue,RedmiNote10ProPink,0.5,40,657.77,13.1
RedmiNote10ProBlue,RedmiNote9,0.5,40,1133.83,27.0
RedmiNote10ProBlue,RedmiNote10ProBlue,0.5,50,545.13,11.4
RedmiNote10ProBlue,RedmiNote10ProPink,0.5,50,663.86,13.27
RedmiNote10ProBlue,RedmiNote9,0.5,50,1133.4,27.32
RedmiNote10ProBlue,RedmiNote10ProBlue,0.5,100,538.59,11.2
RedmiNote10ProBlue,RedmiNote10ProPink,0.5,100,668.4,13.25
RedmiNote10ProBlue,RedmiNote9,0.5,100,1137.22,27.17
RedmiNote10ProBlue,RedmiNote10ProBlue,0.5,200,535.93,11.04
RedmiNote10ProBlue,RedmiNote10ProPink,0.5,200,662.08,13.08
RedmiNote10ProBlue,RedmiNote9,0.5,200,1135.26,26.61
RedmiNote10ProBlue,RedmiNote10ProBlue,0.6,5,649.48,16.17
RedmiNote10ProBlue,RedmiNote10ProPink,0.6,5,688.88,16.17
RedmiNote10ProBlue,RedmiNote9,0.6,5,1272.81,35.98
RedmiNote10ProBlue,RedmiNote10ProBlue,0.6,10,560.32,12.17
RedmiNote10ProBlue,RedmiNote10ProPink,0.6,10,656.44,13.61
RedmiNote10ProBlue,RedmiNote9,0.6,10,1157.45,29.34
RedmiNote10ProBlue,RedmiNote10ProBlue,0.6,20,536.47,11.0
RedmiNote10ProBlue,RedmiNote10ProPink,0.6,20,654.5,12.95
RedmiNote10ProBlue,RedmiNote9,0.6,20,1135.04,26.46
RedmiNote10ProBlue,RedmiNote10ProBlue,0.6,30,528.14,10.82
RedmiNote10ProBlue,RedmiNote10ProPink,0.6,30,659.23,12.93
RedmiNote10ProBlue,RedmiNote9,0.6,30,1149.04,26.45
RedmiNote10ProBlue,RedmiNote10ProBlue,0.6,40,518.8,10.65
RedmiNote10ProBlue,RedmiNote10ProPink,0.6,40,657.64,12.86
RedmiNote10ProBlue,RedmiNote9,0.6,40,1153.31,26.1
RedmiNote10ProBlue,RedmiNote10ProBlue,0.6,50,512.69,10.66
RedmiNote10ProBlue,RedmiNote10ProPink,0.6,50,669.31,13.09
RedmiNote10ProBlue,RedmiNote9,0.6,50,1151.66,26.51
RedmiNote10ProBlue,RedmiNote10ProBlue,0.6,100,486.7,10.32
RedmiNote10ProBlue,RedmiNote10ProPink,0.6,100,668.95,13.05
RedmiNote10ProBlue,RedmiNote9,0.6,100,1160.64,26.6
RedmiNote10ProBlue,RedmiNote10ProBlue,0.6,200,528.77,10.82
RedmiNote10ProBlue,RedmiNote10ProPink,0.6,200,654.95,12.88
RedmiNote10ProBlue,RedmiNote9,0.6,200,1141.15,26.23
RedmiNote10ProBlue,RedmiNote10ProBlue,0.7,5,626.47,15.36
RedmiNote10ProBlue,RedmiNote10ProPink,0.7,5,681.78,15.78
RedmiNote10ProBlue,RedmiNote9,0.7,5,1245.71,34.85
RedmiNote10ProBlue,RedmiNote10ProBlue,0.7,10,553.38,11.9
RedmiNote10ProBlue,RedmiNote10ProPink,0.7,10,660.65,13.52
RedmiNote10ProBlue,RedmiNote9,0.7,10,1148.93,28.67
RedmiNote10ProBlue,RedmiNote10ProBlue,0.7,20,532.97,11.0
RedmiNote10ProBlue,RedmiNote10ProPink,0.7,20,663.1,13.06
RedmiNote10ProBlue,RedmiNote9,0.7,20,1140.56,26.55
RedmiNote10ProBlue,RedmiNote10ProBlue,0.7,30,532.94,11.03
RedmiNote10ProBlue,RedmiNote10ProPink,0.7,30,674.66,13.23
RedmiNote10ProBlue,RedmiNote9,0.7,30,1141.91,26.6
RedmiNote10ProBlue,RedmiNote10ProBlue,0.7,40,529.47,10.88
RedmiNote10ProBlue,RedmiNote10ProPink,0.7,40,666.23,13.08
RedmiNote10ProBlue,RedmiNote9,0.7,40,1137.19,26.16
RedmiNote10ProBlue,RedmiNote10ProBlue,0.7,50,512.78,10.7
RedmiNote10ProBlue,RedmiNote10ProPink,0.7,50,661.43,13.0
RedmiNote10ProBlue,RedmiNote9,0.7,50,1141.29,26.34
RedmiNote10ProBlue,RedmiNote10ProBlue,0.7,100,522.63,10.81
RedmiNote10ProBlue,RedmiNote10ProPink,0.7,100,664.38,13.04
RedmiNote10ProBlue,RedmiNote9,0.7,100,1146.12,26.4
RedmiNote10ProBlue,RedmiNote10ProBlue,0.7,200,506.17,10.55
RedmiNote10ProBlue,RedmiNote10ProPink,0.7,200,659.46,12.94
RedmiNote10ProBlue,RedmiNote9,0.7,200,1138.83,25.98
RedmiNote10ProBlue,RedmiNote10ProBlue,0.8,5,608.53,14.47
RedmiNote10ProBlue,RedmiNote10ProPink,0.8,5,671.99,15.16
RedmiNote10ProBlue,RedmiNote9,0.8,5,1220.81,33.52
RedmiNote10ProBlue,RedmiNote10ProBlue,0.8,10,547.84,11.61
RedmiNote10ProBlue,RedmiNote10ProPink,0.8,10,658.71,13.29
RedmiNote10ProBlue,RedmiNote9,0.8,10,1142.79,28.14
RedmiNote10ProBlue,RedmiNote10ProBlue,0.8,20,531.15,10.97
RedmiNote10ProBlue,RedmiNote10ProPink,0.8,20,662.03,13.08
RedmiNote10ProBlue,RedmiNote9,0.8,20,1130.07,26.43
RedmiNote10ProBlue,RedmiNote10ProBlue,0.8,30,518.12,10.75
RedmiNote10ProBlue,RedmiNote10ProPink,0.8,30,655.64,12.93
RedmiNote10ProBlue,RedmiNote9,0.8,30,1138.02,26.28
RedmiNote10ProBlue,RedmiNote10ProBlue,0.8,40,508.58,10.6
RedmiNote10ProBlue,RedmiNote10ProPink,0.8,40,649.34,12.82
RedmiNote10ProBlue,RedmiNote9,0.8,40,1133.1,26.11
RedmiNote10ProBlue,RedmiNote10ProBlue,0.8,50,530.35,11.01
RedmiNote10ProBlue,RedmiNote10ProPink,0.8,50,666.66,13.14
RedmiNote10ProBlue,RedmiNote9,0.8,50,1138.01,26.73
RedmiNote10ProBlue,RedmiNote10ProBlue,0.8,100,523.75,10.82
RedmiNote10ProBlue,RedmiNote10ProPink,0.8,100,655.07,12.91
RedmiNote10ProBlue,RedmiNote9,0.8,100,1139.36,26.25
RedmiNote10ProBlue,RedmiNote10ProBlue,0.8,200,507.43,10.59
RedmiNote10ProBlue,RedmiNote10ProPink,0.8,200,649.81,12.83
RedmiNote10ProBlue,RedmiNote9,0.8,200,1135.36,26.21
